LotArea,GrLivArea,Street,Alley,LotType,BldgType,HouseStyle,OverallQuality,OverallCondition,YearBuilt,Foundation,TotalBsmtSF,CentralAir,FullBath,HalfBath,GarageType,GarageCars,GarageArea,YearSold,SaleType,SaleCondition,SalePrice
10140,1074,Pave,NA,Inside,1Fam,1Story,5,6,1975,CBlock,1056,Y,1,1,Attchd,2,495,2006,WD,Normal,153500
8700,1128,Pave,NA,Inside,1Fam,1Story,5,6,1963,CBlock,1120,Y,2,0,Attchd,2,525,2008,WD,Normal,155000
8100,2138,Pave,NA,Corner,1Fam,2.5Unf,5,5,1898,PConc,849,N,2,0,Detchd,2,360,2009,WD,Normal,106000
13450,1861,Pave,NA,Corner,1Fam,2Story,7,5,2002,PConc,916,Y,2,1,BuiltIn,2,492,2006,WD,Normal,200000
22950,3608,Pave,NA,Inside,1Fam,2.5Fin,10,9,1892,BrkTil,1107,Y,2,1,Detchd,3,840,2006,WD,Normal,475000
4438,848,Pave,NA,Inside,TwnhsE,1Story,6,5,2004,PConc,848,Y,1,0,Attchd,2,420,2008,WD,Normal,149000
13651,2223,Pave,NA,Inside,1Fam,1Story,7,6,1973,Do Not use this Field in the Model,2223,Y,2,0,Attchd,2,516,2007,WD,Normal,244000
16196,1494,Pave,NA,Inside,1Fam,1Story,7,5,1998,PConc,1482,Y,2,0,Attchd,2,514,2007,WD,Normal,215000
8814,1274,Pave,NA,Inside,1Fam,1Story,7,5,2005,PConc,1274,Y,2,0,Attchd,2,508,2007,New,Partial,203000
16560,2345,Pave,NA,Inside,1Fam,2Story,6,8,1932,BrkTil,952,Y,2,1,Detchd,2,360,2006,WD,Normal,239000
10000,1178,Pave,NA,Inside,1Fam,1Story,5,6,1973,CBlock,1176,Y,1,1,Attchd,2,439,2008,WD,Normal,157000
7500,1804,Pave,NA,Inside,1Fam,2Story,7,5,1999,PConc,994,Y,2,1,Attchd,2,442,2010,WD,Normal,189000
7500,1221,Pave,Pave,Inside,1Fam,1Story,7,5,2004,PConc,1221,Y,2,0,Attchd,2,400,2009,WD,Normal,185000
5587,1652,Pave,NA,Inside,TwnhsE,1Story,8,5,2008,PConc,1600,Y,2,0,Attchd,2,482,2008,New,Partial,392500
4500,1224,Pave,NA,FR2,TwnhsE,1Story,6,5,1999,PConc,1224,Y,2,0,Attchd,2,402,2009,WD,Normal,165000
12108,1440,Pave,NA,Inside,Duplex,1Story,4,4,1955,CBlock,1440,N,2,0,NA,0,0,2008,WD,Normal,118000
2308,1322,Pave,NA,Inside,TwnhsE,2Story,6,5,1974,CBlock,855,Y,2,1,Attchd,2,440,2009,WD,Normal,147000
14442,1839,Pave,NA,Inside,1Fam,1Story,6,7,1957,PConc,1477,Y,2,0,Attchd,2,416,2007,WD,Normal,257500
2448,1626,Pave,NA,Inside,Twnhs,2Story,7,5,2003,PConc,764,Y,2,1,BuiltIn,2,474,2008,WD,Normal,154000
159000,2144,Pave,NA,CulDSac,1Fam,1.5Fin,6,7,1958,CBlock,1444,Y,2,0,Attchd,2,389,2007,WD,Normal,277000
7590,1812,Pave,NA,Inside,1Fam,2Story,5,5,1962,CBlock,864,Y,2,0,Attchd,1,264,2007,WD,Normal,169500
10264,1588,Pave,NA,Inside,1Fam,1Story,7,5,1999,PConc,1588,Y,2,0,Attchd,2,472,2006,WD,Normal,214000
11120,1232,Pave,NA,CulDSac,1Fam,1Story,6,6,1984,PConc,1232,Y,2,0,Attchd,2,,2008,WD,Normal,162500
12798,1688,Pave,NA,Inside,1Fam,2Story,6,5,1997,PConc,616,Y,2,1,Attchd,2,603,2008,WD,Normal,200000
7875,1144,Pave,NA,Inside,1Fam,1Story,5,6,1961,CBlock,1144,Y,1,0,Attchd,2,456,2008,WD,Normal,139950
10994,1844,Pave,NA,Corner,1Fam,1Story,8,5,2005,PConc,1844,Y,2,0,Attchd,2,620,2009,COD,Abnorml,257000
8471,1212,Pave,NA,Corner,1Fam,SLvl,6,7,1977,CBlock,506,Y,1,0,Attchd,2,492,2006,WD,Normal,151000
4435,848,Pave,NA,Inside,TwnhsE,1Story,6,5,2003,PConc,848,Y,1,0,Attchd,2,420,2007,WD,Normal,131500
11500,845,Pave,NA,CulDSac,1Fam,1Story,4,3,1957,Slab,0,N,1,0,Detchd,1,290,2009,WD,Normal,84000
5825,747,Pave,NA,Inside,1Fam,1Story,4,5,1926,PConc,600,Y,1,0,Detchd,2,528,2006,WD,Normal,79900
9786,1077,Pave,NA,Inside,1Fam,1Story,3,4,1922,BrkTil,1007,N,1,0,Detchd,1,210,2006,WD,Normal,91000
11838,1788,Pave,NA,Inside,1Fam,1Story,8,5,2001,PConc,1753,Y,2,0,Attchd,2,522,2009,WD,Normal,236500
10998,1604,Pave,Grvl,Inside,1Fam,1.5Fin,5,5,1941,CBlock,984,Y,2,0,Detchd,2,660,2009,WD,Normal,117000
4920,1338,Pave,NA,Inside,TwnhsE,1Story,8,5,2001,PConc,1338,Y,2,0,Attchd,2,582,2010,WD,Normal,213500
10041,1915,Pave,NA,Inside,1Fam,2Story,8,5,1992,PConc,908,Y,2,1,Attchd,2,506,2006,WD,Abnorml,220000
6629,1369,Pave,NA,Inside,1Fam,2Story,6,6,1925,BrkTil,672,N,2,0,Detchd,1,300,2009,WD,Normal,103600
19900,2207,Pave,NA,Inside,1Fam,1Story,7,5,1970,Do Not use this Field in the Model,1947,Y,2,0,Attchd,2,576,2010,WD,Normal,180000
14450,2121,Pave,NA,Inside,1Fam,1Story,9,5,2006,Do Not use this Field in the Model,2121,Y,2,1,Attchd,3,732,2007,New,Partial,415298
9765,1470,Pave,NA,Corner,1Fam,2Story,6,8,1993,PConc,680,Y,2,1,BuiltIn,2,420,2009,WD,Normal,185000
6853,1296,Pave,NA,Inside,1Fam,1Story,8,5,2001,Do Not use this Field in the Model,1267,Y,2,0,Attchd,2,471,2009,WD,Normal,220000
16647,1701,Pave,NA,CulDSac,1Fam,SFoyer,5,5,1975,CBlock,1390,Y,2,0,Basment,2,611,2007,WD,Normal,171000
7917,1113,Pave,NA,Corner,1Fam,1Story,6,7,1976,CBlock,1143,Y,1,1,Attchd,1,504,2007,WD,Normal,148000
13125,1740,Pave,NA,Inside,1Fam,2Story,7,6,1940,CBlock,800,Y,1,1,Attchd,1,240,2007,CWD,Normal,219500
7094,894,Pave,NA,Inside,1Fam,1Story,5,5,1966,CBlock,894,Y,1,0,Detchd,1,384,2007,WD,Normal,125000
8200,1928,Pave,NA,Inside,1Fam,2Story,7,5,2003,PConc,847,Y,2,1,BuiltIn,2,434,2007,WD,Normal,219500
12692,3228,Pave,NA,Inside,1Fam,1Story,8,5,1992,PConc,3200,Y,3,0,Attchd,2,546,2007,WD,Normal,430000
4590,1554,Pave,NA,Inside,Twnhs,1Story,8,5,2006,PConc,1554,Y,2,0,Attchd,2,627,2007,WD,Normal,209500
8973,1053,Pave,NA,Inside,1Fam,1Story,5,7,1958,Do Not use this Field in the Model,1008,Y,1,1,2Types,2,750,2006,WD,Abnorml,150000
11924,2324,Pave,NA,Inside,1Fam,2Story,9,5,2005,PConc,1175,Y,3,0,BuiltIn,3,,2006,New,Partial,345000
14100,3447,Pave,NA,Inside,1Fam,1.5Fin,8,9,1935,CBlock,728,Y,3,1,BuiltIn,3,1014,2008,WD,Normal,381000
15256,1464,Pave,NA,CulDSac,1Fam,1Story,8,5,2007,PConc,1485,Y,2,0,Attchd,3,754,2007,WD,Normal,282922
9600,1632,Pave,NA,Inside,1Fam,1Story,6,6,1958,Do Not use this Field in the Model,1240,Y,2,0,Attchd,1,338,2009,WD,Normal,139000
25095,1473,Pave,NA,Inside,1Fam,1Story,5,8,1968,CBlock,1437,Y,1,0,Attchd,1,452,2009,WD,Partial,143000
5436,1154,Pave,NA,Inside,1Fam,1.5Fin,4,8,1922,BrkTil,796,Y,1,0,Detchd,1,240,2010,WD,Normal,125500
8499,1412,Pave,NA,Inside,1Fam,2Story,6,5,2006,PConc,616,Y,2,1,BuiltIn,2,432,2007,New,Partial,156932
17755,1466,Pave,NA,Inside,1Fam,1Story,5,4,1959,CBlock,1466,Y,1,1,Attchd,2,528,2006,WD,Normal,149900
12328,1034,Pave,NA,Inside,1Fam,SLvl,6,5,1976,CBlock,1012,Y,1,0,Attchd,3,888,2010,WD,Normal,169900
8544,1040,Pave,NA,Corner,Duplex,1Story,3,4,1950,Slab,0,N,2,0,Detchd,2,400,2009,WD,Normal,92900
7920,1406,Pave,Grvl,Inside,1Fam,1.5Fin,6,7,1920,CBlock,319,Y,1,0,NA,0,0,2008,WD,Normal,89500
8012,1617,Pave,NA,Inside,TwnhsE,1Story,6,5,1993,PConc,1604,Y,2,0,Attchd,2,533,2008,WD,Normal,193000
2544,1223,Pave,Pave,Inside,Twnhs,2Story,7,5,2005,PConc,600,Y,2,1,Detchd,2,480,2006,WD,Normal,147400
13300,928,Pave,NA,Inside,1Fam,1Story,5,7,1956,CBlock,928,Y,1,0,Attchd,1,252,2007,WD,Normal,132000
11367,1989,Pave,NA,Corner,1Fam,2Story,8,5,2002,PConc,1065,Y,2,1,Attchd,2,586,2006,WD,Normal,255000
10246,960,Pave,NA,CulDSac,1Fam,SLvl,4,9,1965,CBlock,648,Y,0,0,Attchd,1,364,2006,WD,Normal,145000
6060,1123,Pave,NA,Inside,1Fam,1.5Fin,4,5,1939,Do Not use this Field in the Model,732,Y,1,0,Detchd,1,264,2007,WD,Normal,100000
14230,1600,Pave,NA,Corner,1Fam,1Story,8,5,2007,PConc,1566,Y,2,0,Attchd,3,890,2009,WD,Normal,256300
16226,2452,Pave,NA,Inside,1Fam,2Story,8,5,1998,PConc,1028,Y,2,1,BuiltIn,2,683,2007,WD,Normal,267000
11075,1968,Pave,NA,Inside,1Fam,2Story,5,4,1969,CBlock,784,Y,2,1,Attchd,2,530,2008,WD,Normal,172000
8544,1040,Pave,NA,Inside,Duplex,1Story,3,4,1949,Slab,0,N,2,0,Detchd,2,400,2006,WD,Normal,87500
7406,1220,Pave,NA,Inside,1Fam,1Story,7,5,2006,PConc,1199,Y,2,0,Attchd,2,632,2006,New,Partial,194000
10800,1466,Pave,Grvl,Inside,1Fam,1.5Fin,5,8,1936,CBlock,796,Y,2,0,Attchd,2,566,2006,WD,Normal,170000
9135,1700,Pave,NA,Inside,1Fam,1Story,6,5,2003,PConc,1682,Y,2,0,Attchd,2,544,2006,WD,Normal,200000
9179,1790,Pave,NA,Inside,1Fam,2Story,7,5,1999,PConc,873,Y,2,1,Attchd,2,588,2008,WD,Abnorml,193000
8520,968,Pave,NA,Inside,1Fam,1Story,5,6,1923,CBlock,968,Y,1,0,Detchd,2,480,2007,WD,Normal,100000
10839,1604,Pave,NA,Corner,1Fam,2Story,6,5,1997,PConc,926,Y,2,1,Attchd,2,470,2008,WD,Normal,181000
4435,848,Pave,NA,Inside,TwnhsE,1Story,6,5,2003,PConc,848,Y,1,0,Attchd,2,420,2009,WD,Normal,144000
6305,954,Pave,NA,Inside,1Fam,1Story,5,7,1938,PConc,920,Y,1,0,Basment,1,240,2007,WD,Normal,119750
9735,1394,Pave,NA,Inside,1Fam,SLvl,5,5,2006,PConc,384,Y,2,1,BuiltIn,2,400,2008,WD,Normal,167500
70761,1533,Pave,NA,Inside,1Fam,1Story,7,5,1975,CBlock,1533,Y,2,0,Attchd,2,576,2006,WD,Normal,280000
10410,1214,Pave,Grvl,Corner,1Fam,1.5Fin,3,4,1915,PConc,672,Y,1,0,Detchd,3,936,2006,WD,Family,105000
3010,1248,Pave,NA,Inside,TwnhsE,1Story,7,5,2005,PConc,1248,Y,2,0,Attchd,2,,2006,New,Partial,167240
15523,864,Pave,NA,CulDSac,1Fam,1Story,5,6,1972,CBlock,864,Y,1,0,Attchd,1,338,2009,WD,Normal,133500
7800,1118,Pave,NA,Inside,2fmCon,1.5Fin,5,7,1939,CBlock,793,Y,1,0,Detchd,2,410,2006,WD,Normal,119900
5381,1306,Pave,NA,Inside,Twnhs,1Story,6,5,2005,PConc,1306,Y,2,0,Attchd,2,624,2009,WD,Normal,196000
17542,2167,Pave,NA,Inside,1Fam,2Story,7,7,1974,CBlock,1192,Y,2,1,Attchd,2,518,2007,WD,Normal,294000
10320,1469,Pave,Grvl,Inside,1Fam,1.5Fin,6,7,1906,CBlock,756,Y,1,0,Detchd,1,216,2008,WD,Normal,135000
13478,2296,Pave,NA,Corner,1Fam,2Story,10,5,2008,PConc,1722,Y,2,1,BuiltIn,3,842,2009,ConLI,Normal,451950
9000,1375,Pave,NA,Inside,1Fam,1.5Fin,6,6,1937,PConc,780,Y,1,1,Detchd,1,544,2007,WD,Normal,141000
16056,2868,Pave,NA,Inside,1Fam,2Story,9,5,2005,PConc,1992,Y,3,1,BuiltIn,3,716,2006,New,Partial,556581
7472,1479,Pave,NA,CulDSac,1Fam,2Story,7,9,1972,Do Not use this Field in the Model,725,Y,1,1,Attchd,2,484,2007,WD,Normal,184000
26178,2519,Pave,NA,Inside,1Fam,2Story,7,5,1989,PConc,1210,Y,2,1,Attchd,2,628,2006,WD,Normal,335000
1974,1092,Pave,NA,Inside,TwnhsE,2Story,4,5,1973,CBlock,546,Y,1,1,Attchd,1,286,2010,WD,Normal,83500
11670,1905,Pave,NA,Corner,1Fam,1Story,9,5,2006,PConc,1905,Y,2,0,Attchd,3,788,2007,WD,Normal,320000
10382,1095,Pave,NA,Inside,2fmCon,SLvl,6,5,1958,CBlock,588,Y,1,0,Attchd,1,264,2006,ConLD,Normal,140000
11250,1788,Pave,NA,Inside,1Fam,1.5Fin,4,5,1957,CBlock,1104,Y,1,0,Attchd,1,304,2009,WD,Normal,161500
8556,1240,Pave,NA,Inside,1Fam,1Story,7,5,2006,PConc,1240,Y,2,0,Attchd,3,826,2007,WD,Normal,194000
7200,1040,Pave,NA,Inside,1Fam,1Story,4,5,1950,Slab,0,Y,1,0,Detchd,2,420,2006,WD,Normal,109900
12378,1944,Pave,NA,Inside,1Fam,1Story,9,5,2003,PConc,1896,Y,2,0,Attchd,3,708,2006,WD,Normal,360000
1869,987,Pave,NA,Inside,Twnhs,2Story,6,6,1970,CBlock,483,Y,1,1,Detchd,1,,2008,WD,Normal,106000
12327,2132,Pave,NA,Inside,1Fam,1.5Fin,8,8,1983,CBlock,1496,Y,1,1,BuiltIn,2,612,2009,WD,Normal,316600
9560,864,Pave,NA,Corner,1Fam,1Story,5,7,1972,CBlock,864,Y,1,0,Attchd,1,288,2006,WD,Normal,128500
9600,1252,Pave,NA,Inside,1Fam,1.5Fin,6,5,1950,CBlock,1032,Y,1,0,Attchd,1,288,2008,WD,Abnorml,119000
10437,2113,Pave,NA,Inside,1Fam,1Story,8,6,1995,PConc,2109,Y,2,1,Attchd,3,839,2008,WD,Normal,350000
6000,1218,Pave,NA,Inside,1Fam,1.5Fin,6,6,1941,BrkTil,735,Y,1,0,Detchd,2,440,2007,WD,Normal,131000
8070,990,Pave,NA,Inside,1Fam,1Story,4,5,1994,PConc,990,Y,1,0,NA,0,0,2007,WD,Normal,123600
12244,2262,Pave,NA,Inside,1Fam,2Story,8,5,2003,PConc,1482,Y,2,1,Attchd,3,749,2008,WD,Normal,305000
14892,1746,Pave,NA,CulDSac,1Fam,1Story,9,5,2006,PConc,1746,Y,2,0,Attchd,3,758,2009,WD,Normal,377500
9525,1855,Pave,NA,Inside,1Fam,1.5Fin,6,4,1954,CBlock,994,Y,2,0,Attchd,1,325,2006,WD,Normal,136900
7200,1111,Pave,NA,Inside,1Fam,2.5Unf,5,7,1920,BrkTil,530,N,1,0,Detchd,1,288,2007,WD,Normal,101000
23257,2021,Pave,NA,CulDSac,1Fam,2Story,7,5,2006,PConc,868,Y,2,1,BuiltIn,2,422,2006,New,Partial,274725
8800,1251,Pave,NA,Inside,1Fam,1Story,6,6,1964,CBlock,1251,Y,1,0,Attchd,1,461,2006,WD,Normal,160000
7500,1494,Pave,NA,Inside,1Fam,2Story,6,7,1942,CBlock,771,Y,1,0,Attchd,1,213,2009,WD,Normal,177500
6120,800,Pave,NA,Inside,1Fam,1Story,2,3,1936,BrkTil,264,N,1,0,NA,0,0,2009,ConLw,Normal,60000
9600,1432,Pave,Grvl,Inside,1Fam,2Story,5,7,1910,BrkTil,264,Y,2,0,Detchd,2,360,2007,WD,Abnorml,132000
7200,988,Pave,NA,Inside,1Fam,1Story,5,7,1950,CBlock,876,Y,1,0,Attchd,1,276,2007,WD,Normal,119000
21872,1446,Pave,NA,FR2,1Fam,2Story,7,5,1996,PConc,729,Y,2,1,Attchd,2,406,2008,WD,Normal,175000
12137,1661,Pave,NA,CulDSac,1Fam,1Story,7,5,1998,PConc,1649,Y,2,0,Attchd,2,598,2010,WD,Normal,224900
9590,1146,Pave,NA,Corner,1Fam,SLvl,7,5,2003,PConc,868,Y,2,0,Attchd,2,438,2007,WD,Normal,187500
1596,988,Pave,NA,Inside,Twnhs,SLvl,4,5,1973,Do Not use this Field in the Model,462,Y,1,0,BuiltIn,1,297,2009,WD,Normal,91000
1680,987,Pave,NA,Inside,TwnhsE,2Story,6,3,1971,CBlock,483,Y,1,1,Detchd,1,264,2008,WD,Normal,89500
10500,1109,Pave,NA,FR2,1Fam,SLvl,5,7,1971,CBlock,372,Y,1,0,BuiltIn,1,288,2007,WD,Normal,139000
8400,1314,Pave,NA,Inside,1Fam,1Story,5,6,1957,CBlock,1314,Y,1,0,Attchd,1,294,2010,WD,Normal,145000
4500,1204,Pave,NA,FR2,TwnhsE,1Story,6,5,1998,PConc,1204,Y,2,0,Attchd,2,412,2009,WD,Normal,162000
6792,1368,Pave,NA,Inside,TwnhsE,1Story,7,5,2005,PConc,1368,Y,2,0,Attchd,2,474,2006,New,Partial,202665
6240,1367,Pave,NA,Inside,1Fam,1.5Fin,6,6,1931,BrkTil,884,Y,1,0,Detchd,1,560,2007,WD,Normal,127500
8487,1500,Pave,NA,FR2,1Fam,1Story,7,5,2004,PConc,1500,Y,2,0,Attchd,2,570,2009,WD,Normal,190000
3735,1452,Pave,NA,FR3,TwnhsE,2Story,7,5,1999,PConc,691,Y,2,1,Detchd,2,506,2006,WD,Normal,183900
7931,1148,Pave,NA,Inside,1Fam,1Story,5,5,1959,CBlock,1148,Y,1,0,Attchd,1,672,2009,WD,Normal,132500
16635,1602,Pave,NA,FR2,1Fam,1Story,6,7,1977,CBlock,1602,Y,2,0,Attchd,2,529,2009,WD,Normal,215000
10530,981,Pave,NA,Corner,1Fam,1Story,6,5,1971,CBlock,981,Y,1,1,Detchd,2,576,2007,WD,Normal,143250
11235,1382,Pave,NA,Inside,1Fam,1Story,4,5,1963,CBlock,1051,Y,1,1,Attchd,2,459,2006,WD,Normal,148000
10991,1571,Pave,NA,Inside,1Fam,1Story,8,5,2007,PConc,1571,Y,2,0,Attchd,3,722,2007,New,Partial,239000
9588,2574,Pave,NA,Inside,1Fam,2Story,8,5,2007,PConc,1482,Y,2,1,BuiltIn,3,868,2007,New,Partial,276000
15578,1456,Pave,NA,Corner,1Fam,2Story,6,5,2006,PConc,728,Y,2,1,Attchd,2,429,2006,New,Partial,172785
8960,1028,Pave,Grvl,Inside,1Fam,1Story,5,6,1927,CBlock,1008,Y,1,0,Detchd,2,360,2010,WD,Normal,115000
9020,1165,Pave,NA,Inside,1Fam,SLvl,6,7,1966,CBlock,1127,Y,1,1,Attchd,2,490,2008,WD,Normal,174900
6000,904,Pave,NA,Inside,1Fam,1.5Unf,6,7,1926,PConc,884,Y,1,0,Detchd,1,180,2009,WD,Normal,119000
7200,1301,Pave,Pave,Inside,1Fam,1Story,7,5,2006,PConc,1293,Y,2,0,Attchd,2,572,2006,New,Partial,187750
13360,964,Pave,Grvl,Inside,1Fam,1Story,5,7,1921,BrkTil,876,Y,1,0,Detchd,2,432,2009,WD,Normal,163500
8963,2715,Pave,NA,Inside,1Fam,2Story,8,9,1976,CBlock,1142,Y,3,1,BuiltIn,2,831,2008,WD,Normal,299800
10659,1050,Pave,NA,Inside,1Fam,1Story,5,6,1961,CBlock,1050,Y,1,0,Attchd,1,368,2006,COD,Normal,136500
8410,1184,Pave,NA,FR2,1Fam,1.5Fin,5,3,1910,PConc,658,Y,1,0,NA,0,0,2006,WD,AdjLand,81000
6240,1576,Pave,NA,Inside,1Fam,1.5Fin,5,6,1928,BrkTil,1042,Y,1,0,Detchd,1,225,2006,WD,Family,149000
20431,2728,Pave,NA,Inside,1Fam,2Story,9,5,2005,PConc,1848,Y,2,1,Attchd,3,706,2006,New,Partial,437154
2500,1826,Pave,Pave,Corner,1Fam,2Story,7,8,1915,PConc,910,Y,1,1,Attchd,1,164,2009,WD,Normal,155000
12416,1651,Pave,NA,Inside,1Fam,1Story,6,5,1986,CBlock,1606,Y,2,0,Attchd,2,616,2008,WD,Normal,184000
11404,2031,Pave,NA,Inside,1Fam,2Story,7,5,1998,PConc,1153,Y,2,1,Attchd,2,541,2008,WD,Normal,222500
13673,1696,Pave,NA,CulDSac,1Fam,1Story,5,5,1962,CBlock,1140,Y,1,1,Attchd,1,349,2007,WD,Normal,143900
11308,2184,Pave,NA,Inside,1Fam,2Story,9,5,2008,PConc,1104,Y,2,1,Attchd,3,836,2009,WD,Normal,335000
10020,904,Pave,NA,Inside,1Fam,1Story,1,1,1922,BrkTil,683,N,0,1,NA,0,0,2009,WD,Normal,61000
9180,884,Pave,NA,CulDSac,1Fam,SFoyer,5,7,1983,CBlock,840,Y,1,0,Attchd,2,504,2007,WD,Normal,144000
8640,1547,Pave,NA,Inside,1Fam,2Story,7,5,2009,PConc,756,Y,2,1,Attchd,2,614,2010,Con,Normal,215200
8064,924,Pave,NA,Corner,1Fam,1.5Fin,5,7,1949,CBlock,672,Y,1,0,Detchd,2,576,2007,WD,Normal,122900
12118,1710,Pave,NA,CulDSac,1Fam,1Story,7,5,2004,PConc,1710,Y,2,0,Attchd,2,550,2009,WD,Normal,240000
10382,2090,Pave,NA,Corner,1Fam,2Story,7,6,1973,CBlock,1107,Y,2,1,Attchd,2,,2009,WD,Normal,200000
11885,1872,Pave,NA,Inside,1Fam,2Story,8,5,2001,PConc,1299,Y,2,1,BuiltIn,2,531,2009,WD,Normal,261500
9300,1264,Pave,NA,Inside,1Fam,1Story,5,5,1960,CBlock,1268,Y,1,0,Attchd,2,461,2010,WD,Normal,167500
6900,778,Pave,NA,Inside,1Fam,1Story,5,6,1940,CBlock,740,Y,1,0,Detchd,1,924,2008,WD,Normal,120500
7851,1960,Pave,NA,Inside,1Fam,2Story,6,5,2002,PConc,860,Y,2,1,BuiltIn,2,440,2010,WD,Normal,216500
8760,1194,Pave,NA,Inside,1Fam,1Story,6,6,1959,CBlock,1194,Y,1,0,Attchd,1,312,2010,WD,Normal,148000
4435,848,Pave,NA,Inside,TwnhsE,1Story,6,5,2003,PConc,848,Y,1,0,Attchd,2,420,2008,WD,Normal,136500
12886,1464,Pave,NA,Inside,1Fam,SLvl,5,6,1963,CBlock,520,Y,2,0,Attchd,2,480,2009,WD,Normal,175000
5925,1131,Pave,NA,Inside,1Fam,1Story,4,7,1937,BrkTil,907,Y,1,0,Detchd,2,672,2007,WD,Alloca,89471
9375,2034,Pave,NA,Inside,1Fam,2Story,7,5,1997,PConc,1057,Y,2,1,Attchd,2,645,2009,WD,Normal,219500
11302,1826,Pave,NA,Inside,1Fam,1Story,8,5,2005,PConc,1814,Y,2,0,Attchd,3,758,2006,New,Partial,319000
8899,1340,Pave,NA,Inside,1Fam,1Story,7,5,2007,PConc,1340,Y,2,0,Attchd,2,396,2007,New,Partial,181134
10197,1362,Pave,NA,Inside,1Fam,1Story,6,5,1961,CBlock,1362,Y,1,1,Attchd,2,504,2008,COD,Normal,163000
8450,1056,Pave,NA,Inside,1Fam,1Story,5,6,1968,CBlock,1056,Y,1,0,Attchd,1,304,2010,WD,Normal,142000
8294,872,Pave,NA,Inside,1Fam,1Story,4,5,1971,CBlock,858,Y,1,0,Detchd,4,480,2007,WD,Normal,123000
18386,3493,Pave,NA,Inside,1Fam,2.5Fin,7,9,1880,BrkTil,1470,Y,3,0,Attchd,3,870,2008,WD,Normal,295000
15870,1096,Pave,NA,Corner,1Fam,1Story,5,5,1969,CBlock,1096,Y,1,0,Attchd,1,299,2006,WD,Abnorml,138800
8063,1690,Pave,NA,Inside,1Fam,2Story,6,5,2000,PConc,924,Y,2,1,Attchd,2,463,2007,WD,Abnorml,181000
11207,1511,Pave,NA,FR2,1Fam,2Story,6,5,1997,PConc,802,Y,2,1,Attchd,2,413,2006,WD,Normal,185000
9600,1067,Pave,NA,Inside,1Fam,1Story,4,7,1950,CBlock,1067,Y,2,0,Attchd,2,436,2010,WD,Normal,128000
12376,3222,Pave,NA,Corner,1Fam,2Story,7,5,1990,PConc,1673,Y,3,0,Attchd,3,594,2010,WD,Normal,320000
14536,1629,Pave,NA,Inside,1Fam,1Story,8,5,2002,PConc,1616,Y,2,0,Attchd,3,808,2007,WD,Normal,270000
5232,764,Pave,Grvl,Inside,1Fam,1Story,5,5,1925,BrkTil,680,N,1,0,Detchd,2,504,2008,WD,Normal,73000
11200,1298,Pave,NA,Inside,1Fam,1Story,6,5,1985,CBlock,1298,Y,2,0,Attchd,2,403,2006,WD,Normal,180000
